,序号,旅行社中文名称,地址,许可证编号,固定电话,传真号码,邮政编码,经度,纬度
0,1,四川中和天下国际旅行社有限公司,成都市锦江区下沙河铺42号,L-SC-CJ00118,028-85534016,028-86027366,610000,30.628462,104.118061
1,2,成都鹏程旅行社有限公司,成都市新都区新都镇桂湖东路214号,L-SC-CJ00059,83990399,028-83010999,610000,30.823334,104.170160
2,3,成都市四海国际旅行社有限责任公司,成都市武侯区高攀路2号5栋622室,L-SC-CJ00066,028-85435555,85484346,610000,30.625282,104.029842
3,4,四川长兴国际旅行社有限公司,成都市武侯区长益路13号1幢2单元14楼1号,L-SC-CJ00041,028-86514000,028-85033408,610000,30.607928,104.080926
4,5,成都和天下国际旅行社有限公司,成都市武侯区高华横街33号1栋1单元11层1101号,L-SC-CJ00114,028-85055116,85436693,610000,30.625777,104.020516
5,6,四川易飞易国际旅行社有限公司,成都高新区科园二路10号3栋2单元10楼2号,L-SC-CJ00051,2885573048,028-85538842,610000,30.698891,104.045343
6,7,成都国际旅行社（集团）有限公司,成都市武侯区武阳大道二段680号,L-SC-CJ00006,85332828,85534168,610000,30.624876,104.037213
7,8,成都市永兴国际旅行社有限责任公司,成都市武侯区武阳大道三段5号1栋1单元801-802,L-SC-CJ00061,028-61105530,86203707,610000,30.625497,104.022383
8,9,四川耍嗨国际旅行社集团有限公司,四川省成都市金牛区花牌坊街168号1栋1单元12层1221号,L-SC-CJ00027,2886114468,028-86114468,610000,30.639078,104.040956
9,10,四川东晟国际旅行社有限公司,成都市武侯区领事馆路12号1栋B单元3楼4号,L-SC-CJ00098,2888880888,85224850,610000,30.625271,104.071229
10,11,四川省川航假期国际旅行社有限公司,中国（四川）自由贸易试验区成都高新区天府二街266号11层1号,L-SC-CJ00097,65336011,65336011,610000,30.550980,104.063876
11,12,四川寰宇风情国际旅行社有限公司,成都市武侯区人民南路四段12号6栋11层1102室,L-SC-CJ00052,028-85032266,,610000,30.609331,104.059919
12,13,四川蓉之旅国际旅行社有限公司,成都市武侯区人民南路四段27号1栋1单元4楼2号,L-SC-CJ00030,028-85235582,028-85210998,610000,30.615685,104.067197
13,14,四川海外旅游有限责任公司,成都市武侯区火车南站西路18号一栋一单元8层,L-SC-CJ00001,028-86677345,86672970,610000,30.618748,104.067819
14,15,成都雅和国际旅行社有限公司,成都市武侯区洗面桥街30号1幢9楼5号,L-SC-CJ00068,028-85109132,85108932,610000,30.636354,104.052714
15,16,成都神游国际旅行社有限公司,成都市武侯区高攀路2号1幢1单元15楼1501,L-SC-CJ00090,028-85108252,85108251,610000,30.639339,104.041421
16,17,成都行之悦国际旅行社有限公司,成都市武侯区高攀路20号万科金色海蓉3栋27层2706、2707号,L-SC-CJ00109,028-85532969,028-85435480,610000,30.611061,104.083846
17,18,四川航空旅行社有限公司,成都市武侯区桐梓林北路2号B栋13层3号,L-SC-CJ00035,028-85089999,85287613,610000,30.616572,104.065869
18,19,四川春秋旅游有限责任公司,成都市武侯区高华横街33号1栋2单元20楼5号,L-SC-CJ00084,028-66996868,85188447,610000,30.607203,104.081874
19,20,成都名家之旅旅行社有限公司,成都市青羊区新华大道文武路42号24层D号,L-SC-CJ00102,028-86610160,86610337,610000,30.670146,104.072515
20,21,四川省邮电国际旅行社有限责任公司,成都市青羊区金河路79号,L-SC-CJ00071,028-86245549,028-86711750,610000,30.660820,104.050060
21,22,四川和邦国际旅行社有限责任公司,成都市青羊区下南大街2号宏达国际广场8楼6-12号,L-SC-CJ00021,028-85176565,028-65278330,610000,30.649013,104.060575
22,23,四川上航假期国际旅行社有限公司,中国（四川）自由贸易试验区成都高新区天府大道中段666号2栋11层1102号,L-SC-CJ00025,86115005,028-86113587,610000,30.668573,104.071294
23,24,四川东旅国际旅行社有限责任公司,成都市青羊区西大街84号金色夏威夷1-1幢513号,L-SC-CJ00062,13096366522,86699590,610000,30.672245,104.057150
24,25,四川省海外行国际旅行社有限公司,成都市青羊区顺城大街308号冠城广场21楼2104号,L-SC-CJ00113,028-86721190,86741099,610000,30.551799,104.068036
25,26,四川懒虫国际旅行社有限公司,成都市青羊区青龙巷36号11层1102号,L-SC-CJ00120,028-81725196,61860091,610000,30.671740,104.064599
26,27,成都美成旅行社有限公司,四川省成都市青羊区光华南三路88号1栋7层710号,L-SC-CJ00108,18912790778,86980663,610000,30.668442,103.963715
27,28,四川省飞扬国际旅行社有限责任公司,成都市青羊区青羊大道10号商铺二楼D-17号,L-SC-CJ00067,2887396583,87369960,610000,30.670607,104.063479
